News,MENTIONS,Company
735,MENTIONS,0001413329
754,MENTIONS,0001166691
754,MENTIONS,0001744489
770,MENTIONS,0000861459
770,MENTIONS,0001396009
784,MENTIONS,0001050915
786,MENTIONS,0001374310
786,MENTIONS,0001156375
818,MENTIONS,0001633917
820,MENTIONS,0000050863
838,MENTIONS,0001433270
844,MENTIONS,0000860730
849,MENTIONS,0000796343
866,MENTIONS,0001045810
867,MENTIONS,0000796343
869,MENTIONS,0000789019
870,MENTIONS,0000789019
872,MENTIONS,0001341439
879,MENTIONS,0000789019
880,MENTIONS,0001045810
880,MENTIONS,0001318605
881,MENTIONS,0001045810
889,MENTIONS,0000886982
889,MENTIONS,0000895421
895,MENTIONS,0001463101
896,MENTIONS,0000946581
906,MENTIONS,0000888491
921,MENTIONS,0000002488
935,MENTIONS,0000320193
935,MENTIONS,0001108524
935,MENTIONS,0000066740
959,MENTIONS,0000012927
960,MENTIONS,0001133421
974,MENTIONS,0001025378
980,MENTIONS,0000012927
980,MENTIONS,0001783180
980,MENTIONS,0001781335
990,MENTIONS,0001163165
991,MENTIONS,0000093410
991,MENTIONS,0000034088
1010,MENTIONS,0000802481
1018,MENTIONS,0001390777
1020,MENTIONS,0000726728
1022,MENTIONS,0000789019
1022,MENTIONS,0001045810
1024,MENTIONS,0000789019
1033,MENTIONS,0001018724
1033,MENTIONS,0000789019
1129,MENTIONS,0001539838
1131,MENTIONS,0000002488
1143,MENTIONS,0001045810
1156,MENTIONS,0000825542
1183,MENTIONS,0001156375
1189,MENTIONS,0001133421
1190,MENTIONS,0001318605
1194,MENTIONS,0000789019
1196,MENTIONS,0001045810
1198,MENTIONS,0000320187
1218,MENTIONS,0001018724
1218,MENTIONS,0000789019
1226,MENTIONS,0000789019
1237,MENTIONS,0001633917
1266,MENTIONS,0001045810
1276,MENTIONS,0001744489
1288,MENTIONS,0001093557
1288,MENTIONS,0001318605
1311,MENTIONS,0000004977
1311,MENTIONS,0000080661
1318,MENTIONS,0000007084
1339,MENTIONS,0000796343
1339,MENTIONS,0000789019
1360,MENTIONS,0001045810
1364,MENTIONS,0000002488
1366,MENTIONS,0001045810
1376,MENTIONS,0001633917
1380,MENTIONS,0001633917
1380,MENTIONS,0001318605
1383,MENTIONS,0001133421
1384,MENTIONS,0001133421
1390,MENTIONS,0000002488
1390,MENTIONS,0001069258
1390,MENTIONS,0000789019
1390,MENTIONS,0001045810
1390,MENTIONS,0001318605
1398,MENTIONS,0001108524
1399,MENTIONS,0000712515
1420,MENTIONS,0000915913
1420,MENTIONS,0000072903
1427,MENTIONS,0000093410
1434,MENTIONS,0000006951
1434,MENTIONS,0000002488
1434,MENTIONS,0000789019
1434,MENTIONS,0001097864
1434,MENTIONS,0001318605
1434,MENTIONS,0000097476
1438,MENTIONS,0000882095
1485,MENTIONS,0000320193
1495,MENTIONS,0001166691
1551,MENTIONS,0001345016
1561,MENTIONS,0001166691
1561,MENTIONS,0000732717
1574,MENTIONS,0001057706
1583,MENTIONS,0000320193
1583,MENTIONS,0000045012
1583,MENTIONS,0000021344
1583,MENTIONS,0001133421
1583,MENTIONS,0000087347
1583,MENTIONS,0001318605
1609,MENTIONS,0000320193
1609,MENTIONS,0000796343
1609,MENTIONS,0001018724
1642,MENTIONS,0001108524
1642,MENTIONS,0000789019
1642,MENTIONS,0001045810
1644,MENTIONS,0000002488
1651,MENTIONS,0000723125
1651,MENTIONS,0001045810
1655,MENTIONS,0000320193
1655,MENTIONS,0000789019
1655,MENTIONS,0001045810
1658,MENTIONS,0001045810
1659,MENTIONS,0000789019
1664,MENTIONS,0001045810
1668,MENTIONS,0001045810
1669,MENTIONS,0001018724
1669,MENTIONS,0000789019
1669,MENTIONS,0001045810
1671,MENTIONS,0000789019
1671,MENTIONS,0001045810
1676,MENTIONS,0000002488
1676,MENTIONS,0001133421
1677,MENTIONS,0000002488
1677,MENTIONS,0001596532
1677,MENTIONS,0000789019
1679,MENTIONS,0001018724
1679,MENTIONS,0000789019
1679,MENTIONS,0001045810
1687,MENTIONS,0000002488
1689,MENTIONS,0000789019
1691,MENTIONS,0000789019
1704,MENTIONS,0000315189
1704,MENTIONS,0000825542
1705,MENTIONS,0000007084
1711,MENTIONS,0000027904
1711,MENTIONS,0000100517
1722,MENTIONS,0000012927
1730,MENTIONS,0001261333
1733,MENTIONS,0000021344
1738,MENTIONS,0000789019
1738,MENTIONS,0001045810
1738,MENTIONS,0001660134
1739,MENTIONS,0000002488
1739,MENTIONS,0001108524
1741,MENTIONS,0000789019
1741,MENTIONS,0001045810
1744,MENTIONS,0000320193
1744,MENTIONS,0000789019
1746,MENTIONS,0001045810
1780,MENTIONS,0001390777
1780,MENTIONS,0000831001
1780,MENTIONS,0000072971
1787,MENTIONS,0000831001
1790,MENTIONS,0000886982
1790,MENTIONS,0000072971
1803,MENTIONS,0001324404
1803,MENTIONS,0000093410
1803,MENTIONS,0000886982
1803,MENTIONS,0000797468
1803,MENTIONS,0000034088
1806,MENTIONS,0000759944
1806,MENTIONS,0001448893
1839,MENTIONS,0001108524
1875,MENTIONS,0000726728
1878,MENTIONS,0000753308
1878,MENTIONS,0000073309
1885,MENTIONS,0001133421
1892,MENTIONS,0000100493
1912,MENTIONS,0000315293
1912,MENTIONS,0001224608
1912,MENTIONS,0000876437
1918,MENTIONS,0000796343
1918,MENTIONS,0001045810
1918,MENTIONS,0001318605
1924,MENTIONS,0000091576
1930,MENTIONS,0000036377
1935,MENTIONS,0000882095
1957,MENTIONS,0000886982
1957,MENTIONS,0000310158
1968,MENTIONS,0000006951
1968,MENTIONS,0001090012
1968,MENTIONS,0001109357
1969,MENTIONS,0000002488
1969,MENTIONS,0000050863
1987,MENTIONS,0000002488
1987,MENTIONS,0000313616
1987,MENTIONS,0000073124
1989,MENTIONS,0000899051
1989,MENTIONS,0000086312
1994,MENTIONS,0000831001
1994,MENTIONS,0000310158
1994,MENTIONS,0001004980
2023,MENTIONS,0000789019
2032,MENTIONS,0001286681
2060,MENTIONS,0000875045
2060,MENTIONS,0000310158
2062,MENTIONS,0001023024
2069,MENTIONS,0000318154
2069,MENTIONS,0000875320
2078,MENTIONS,0001633917
2085,MENTIONS,0000050863
2113,MENTIONS,0001090012
2113,MENTIONS,0000797468
2113,MENTIONS,0000034088
2115,MENTIONS,0001413329
2139,MENTIONS,0000021665
2139,MENTIONS,0000055785
2241,MENTIONS,0001064728
2241,MENTIONS,0001070412
2243,MENTIONS,0001064728
2256,MENTIONS,0000946581
2264,MENTIONS,0000923796
2279,MENTIONS,0000918646
2279,MENTIONS,0000916076
2281,MENTIONS,0001124198
2321,MENTIONS,0000075362
2328,MENTIONS,0001633917
2334,MENTIONS,0001433270
2336,MENTIONS,0001633917
2338,MENTIONS,0001744489
2338,MENTIONS,0000021344
2338,MENTIONS,0000320187
2338,MENTIONS,0000829224
2338,MENTIONS,0001318605
2338,MENTIONS,0000034088
2354,MENTIONS,0001390777
2355,MENTIONS,0000789019
2355,MENTIONS,0001633917
2359,MENTIONS,0001262039
2363,MENTIONS,0001262039
2382,MENTIONS,0001133421
2385,MENTIONS,0001133421
2389,MENTIONS,0001133421
2390,MENTIONS,0001069258
2391,MENTIONS,0001336920
2393,MENTIONS,0001133421
2395,MENTIONS,0001133421
2396,MENTIONS,0001133421
2397,MENTIONS,0001133421
2398,MENTIONS,0001133421
2400,MENTIONS,0001336920
2400,MENTIONS,0001133421
2404,MENTIONS,0001133421
2406,MENTIONS,0001133421
2408,MENTIONS,0001133421
2410,MENTIONS,0000016058
2410,MENTIONS,0001069258
2459,MENTIONS,0001130310
2483,MENTIONS,0001551152
2483,MENTIONS,0000001800
2488,MENTIONS,0000093410
2488,MENTIONS,0000732717
2493,MENTIONS,0000860730
2493,MENTIONS,0000753308
2495,MENTIONS,0000831001
2495,MENTIONS,0001413329
2495,MENTIONS,0000036104
2505,MENTIONS,0001362468
2539,MENTIONS,0001069258
2541,MENTIONS,0000012927
2559,MENTIONS,0000018230
2559,MENTIONS,0000315189
2559,MENTIONS,0000789019
2559,MENTIONS,0001318605
2562,MENTIONS,0000789019
2562,MENTIONS,0001045810
2605,MENTIONS,0000796343
2606,MENTIONS,0000793952
2621,MENTIONS,0001534504
2621,MENTIONS,0001035002
2629,MENTIONS,0000093410
2629,MENTIONS,0000045012
2630,MENTIONS,
2641,MENTIONS,0000093410
2641,MENTIONS,0000797468
2641,MENTIONS,0000034088
2656,MENTIONS,0000764478
2659,MENTIONS,
2665,MENTIONS,0000002488
2665,MENTIONS,0000050863
2665,MENTIONS,0001045810
2677,MENTIONS,0000789019
2677,MENTIONS,0001633917
2677,MENTIONS,0001318605
2685,MENTIONS,0001324404
2685,MENTIONS,0001285785
2686,MENTIONS,0001324404
2686,MENTIONS,0001285785
2729,MENTIONS,0000712515
2729,MENTIONS,0000789019
2743,MENTIONS,0001045810
2747,MENTIONS,0000034088
2760,MENTIONS,0001551152
2760,MENTIONS,0000753308
2760,MENTIONS,0000100885
2771,MENTIONS,0001289460
2778,MENTIONS,0000939767
2781,MENTIONS,0001396009
2790,MENTIONS,0000909832
2817,MENTIONS,0000027904
2822,MENTIONS,0001262039
2822,MENTIONS,0000789019
2836,MENTIONS,0001600033
2844,MENTIONS,0000320193
2844,MENTIONS,0000002488
2844,MENTIONS,0001058090
2844,MENTIONS,0000789019
2874,MENTIONS,0000067215
2899,MENTIONS,0000789019
2937,MENTIONS,0001133421
2967,MENTIONS,0000909832
2967,MENTIONS,0001069878
2967,MENTIONS,0000916365
2974,MENTIONS,0000702165
2974,MENTIONS,0000100885
2974,MENTIONS,0001090727
2988,MENTIONS,0001018724
2988,MENTIONS,0000104169
3000,MENTIONS,0000002488
3000,MENTIONS,0000789019
3004,MENTIONS,0000712515
3017,MENTIONS,0000789019
3022,MENTIONS,0000315189
3022,MENTIONS,0001090727
3032,MENTIONS,0001396009
3040,MENTIONS,0001166691
3040,MENTIONS,0001067701
3046,MENTIONS,0001633917
3061,MENTIONS,0000891103
3070,MENTIONS,0001633917
3071,MENTIONS,0001075531
3071,MENTIONS,0000040545
3071,MENTIONS,0000829224
3101,MENTIONS,0001336917
3116,MENTIONS,0001352010
3116,MENTIONS,0000789019
3116,MENTIONS,0001045810
3138,MENTIONS,0000886982
3147,MENTIONS,0001018724
3147,MENTIONS,0000789019
3157,MENTIONS,0000002488
3157,MENTIONS,0000789019
3157,MENTIONS,0001045810
3161,MENTIONS,0000035527
3161,MENTIONS,0000036270
3190,MENTIONS,0001166691
3202,MENTIONS,0000320193
3202,MENTIONS,0001018724
3202,MENTIONS,0000804328
3224,MENTIONS,0000021344
3227,MENTIONS,0000759944
3227,MENTIONS,0000091576
3266,MENTIONS,0000093410
3266,MENTIONS,
3280,MENTIONS,0000875320
3294,MENTIONS,0000850209
3306,MENTIONS,0000764065
3306,MENTIONS,0001324424
3317,MENTIONS,0000789019
3318,MENTIONS,0001163165
3318,MENTIONS,0000093410
3318,MENTIONS,0000034088
3335,MENTIONS,0000789019
3335,MENTIONS,0001045810
3350,MENTIONS,0000320193
3350,MENTIONS,0001744489
3350,MENTIONS,0000021344
3350,MENTIONS,0001318605
3365,MENTIONS,0001018724
3365,MENTIONS,0000789019
3370,MENTIONS,0000320193
3370,MENTIONS,0000093410
3372,MENTIONS,0001045810
3386,MENTIONS,0000093410
3390,MENTIONS,0000093410
3390,MENTIONS,0001539838
3390,MENTIONS,0000034088
3391,MENTIONS,0000093410
3392,MENTIONS,0000093410
3398,MENTIONS,0000797468
3450,MENTIONS,0001022079
3474,MENTIONS,0000919012
3474,MENTIONS,0001525769
3491,MENTIONS,0000320193
3491,MENTIONS,0000804328
3491,MENTIONS,0000104169
3506,MENTIONS,0000027419
3524,MENTIONS,0000946581
3525,MENTIONS,0000946581
3536,MENTIONS,0000277948
3536,MENTIONS,0000702165
3550,MENTIONS,0001018724
3551,MENTIONS,0000104169
3564,MENTIONS,0001633917
3564,MENTIONS,0001403161
3565,MENTIONS,0000002488
3581,MENTIONS,0001744489
3605,MENTIONS,
3640,MENTIONS,0000831001
3648,MENTIONS,0000946581
3651,MENTIONS,0001318605
3676,MENTIONS,0001403161
3685,MENTIONS,0001633917
3695,MENTIONS,0001045810
3723,MENTIONS,0000831001
3723,MENTIONS,0000886982
3723,MENTIONS,0000895421
3744,MENTIONS,0000895421
3763,MENTIONS,0000002488
3770,MENTIONS,0001133421
3775,MENTIONS,0000789019
3781,MENTIONS,0001413329
3808,MENTIONS,0001156375
3808,MENTIONS,0000036104
3818,MENTIONS,0001142750
3818,MENTIONS,0000927653
3820,MENTIONS,0000320187
3830,MENTIONS,0000320193
3830,MENTIONS,0000789019
3848,MENTIONS,0000036270
3848,MENTIONS,0000713676
3945,MENTIONS,0000753308
3947,MENTIONS,0000016058
3947,MENTIONS,0001069258
3947,MENTIONS,0001336920
3951,MENTIONS,0000320193
3951,MENTIONS,0000002488
3951,MENTIONS,0000050863
3951,MENTIONS,0001045810
3952,MENTIONS,0000002488
3952,MENTIONS,0001097864
4001,MENTIONS,0001166003
4021,MENTIONS,0000789019
4021,MENTIONS,0001318605
4021,MENTIONS,0000104169
4030,MENTIONS,0001261333
4053,MENTIONS,0001045810
4059,MENTIONS,0001336920
4071,MENTIONS,0001633917
4080,MENTIONS,0000022444
4085,MENTIONS,0001133421
4088,MENTIONS,0000860730
4088,MENTIONS,0000070318
4092,MENTIONS,0001018724
4092,MENTIONS,0001093557
4092,MENTIONS,0000865752
4092,MENTIONS,0001045810
4092,MENTIONS,0001318605
4099,MENTIONS,0001744489
4099,MENTIONS,0000046080
4108,MENTIONS,0001045810
4108,MENTIONS,0001318605
4122,MENTIONS,0000093410
4122,MENTIONS,0000895421
4124,MENTIONS,0001296445
4140,MENTIONS,0000320193
4140,MENTIONS,0000789019
4140,MENTIONS,0001045810
4147,MENTIONS,0001097149
4157,MENTIONS,0000831001
4158,MENTIONS,0000789019
4176,MENTIONS,0000882095
4177,MENTIONS,0001633917
4187,MENTIONS,0000093410
4201,MENTIONS,0001526520
4215,MENTIONS,0000829224
4219,MENTIONS,0001039684
4226,MENTIONS,0001571949
4235,MENTIONS,0000789019
4238,MENTIONS,0001744489
4238,MENTIONS,0001526520
4259,MENTIONS,0000732717
4265,MENTIONS,0001185348
4285,MENTIONS,0000882095
4285,MENTIONS,0000895421
4324,MENTIONS,0001018724
4324,MENTIONS,0000789019
4324,MENTIONS,0001403161
4326,MENTIONS,0001018724
4326,MENTIONS,0000789019
4368,MENTIONS,0000793952
4369,MENTIONS,0001396009
4369,MENTIONS,0000104169
4373,MENTIONS,0001022079
4377,MENTIONS,0000012927
4377,MENTIONS,0000093410
4377,MENTIONS,0000004127
4377,MENTIONS,0000034088
4381,MENTIONS,0000796343
4389,MENTIONS,0001403161
4397,MENTIONS,0001374310
4397,MENTIONS,0001045810
4398,MENTIONS,0001045810
4423,MENTIONS,0000789019
4423,MENTIONS,0001045810
4448,MENTIONS,0001633917
4459,MENTIONS,0001633917
4468,MENTIONS,0000796343
4477,MENTIONS,0000001800
4477,MENTIONS,0000021344
4477,MENTIONS,0001413329
4479,MENTIONS,0000001750
4502,MENTIONS,0001018724
4502,MENTIONS,0000050863
4502,MENTIONS,0000789019
4522,MENTIONS,0001089063
4545,MENTIONS,0000040545
4560,MENTIONS,0000796343
4560,MENTIONS,0001048911
4569,MENTIONS,0001604778
4572,MENTIONS,0001374310
4572,MENTIONS,0000876437
4582,MENTIONS,0001045810
4588,MENTIONS,0001133421
4610,MENTIONS,0001306830
4610,MENTIONS,0001637459
4611,MENTIONS,0001289419
4641,MENTIONS,0000002488
4643,MENTIONS,0001403161
4646,MENTIONS,0000789019
4647,MENTIONS,0001097864
4663,MENTIONS,0000320193
4663,MENTIONS,0000789019
4663,MENTIONS,0001045810
4670,MENTIONS,0001075531
4684,MENTIONS,0000789019
4703,MENTIONS,0001744489
4703,MENTIONS,0000021344
4722,MENTIONS,0000320187
4723,MENTIONS,0001318605
4736,MENTIONS,0000021344
4736,MENTIONS,0000829224
4741,MENTIONS,0001403161
4744,MENTIONS,0001045810
4748,MENTIONS,0000946581
4758,MENTIONS,0000006201
4789,MENTIONS,0000946581
4800,MENTIONS,0000320193
4807,MENTIONS,0000789019
4809,MENTIONS,0000002488
4809,MENTIONS,0001018724
4809,MENTIONS,0000789019
4812,MENTIONS,0000002488
4825,MENTIONS,0001156375
4849,MENTIONS,0000002488
4852,MENTIONS,0001660134
4878,MENTIONS,0000318154
4889,MENTIONS,0000753308
4893,MENTIONS,0000880266
4893,MENTIONS,0000315189
4893,MENTIONS,0000899751
4907,MENTIONS,0001164727
4951,MENTIONS,0000002488
4951,MENTIONS,0000804328
5015,MENTIONS,0000789019
5028,MENTIONS,0001053507
5039,MENTIONS,0001058090
5040,MENTIONS,0000002488
5040,MENTIONS,0001045810
5049,MENTIONS,0001018724
5049,MENTIONS,0000789019
5051,MENTIONS,0000051143
5055,MENTIONS,0000882095
5060,MENTIONS,0000712515
5077,MENTIONS,0001067294
5077,MENTIONS,0000077476
5080,MENTIONS,0000789019
5080,MENTIONS,0001045810
5085,MENTIONS,0000946581
5113,MENTIONS,0001463101
5113,MENTIONS,0000753308
5113,MENTIONS,0000072903
5122,MENTIONS,0000073309
5124,MENTIONS,0000759944
5124,MENTIONS,0001128361
5124,MENTIONS,0000801337
5132,MENTIONS,0001318605
5190,MENTIONS,0001018724
5190,MENTIONS,0000789019
5232,MENTIONS,0001163165
5232,MENTIONS,0001520006
5238,MENTIONS,0001130310
5258,MENTIONS,0001739940
5258,MENTIONS,0000049071
5266,MENTIONS,0000886982
5300,MENTIONS,0001163165
5300,MENTIONS,0000072971
5304,MENTIONS,0001018724
5304,MENTIONS,0001045810
5305,MENTIONS,0000026172
5308,MENTIONS,0000002488
5315,MENTIONS,0001564708
5325,MENTIONS,0001744489
5325,MENTIONS,0000921738
5340,MENTIONS,0000012927
5340,MENTIONS,0001133421
5344,MENTIONS,0001374310
5344,MENTIONS,0001156375
5352,MENTIONS,0000821026
5352,MENTIONS,0000835011
5433,MENTIONS,0000713676
5433,MENTIONS,0000100885
5433,MENTIONS,0000034088
5484,MENTIONS,0000066740
5499,MENTIONS,0000793733
5500,MENTIONS,0000793733
5501,MENTIONS,0000006201
5528,MENTIONS,0001579298
5528,MENTIONS,0001525769
5533,MENTIONS,0000885725
5533,MENTIONS,0001099800
5534,MENTIONS,0001099800
5535,MENTIONS,0000018230
5535,MENTIONS,0000895421
5538,MENTIONS,0000093410
5538,MENTIONS,0000021344
5549,MENTIONS,0001023024
5555,MENTIONS,0000006951
5555,MENTIONS,0001413329
5562,MENTIONS,0001633931
5562,MENTIONS,0000916076
5562,MENTIONS,0001370946
5562,MENTIONS,0001396009
5565,MENTIONS,0001403161
5565,MENTIONS,0001442145
5585,MENTIONS,0001058090
5585,MENTIONS,0001065088
5590,MENTIONS,0000918646
5590,MENTIONS,0000916076
5590,MENTIONS,0001396009
5605,MENTIONS,0001633917
5606,MENTIONS,0001045810
5606,MENTIONS,0001633917
5610,MENTIONS,0001633917
5613,MENTIONS,0001390777
5613,MENTIONS,0001633917
5620,MENTIONS,0001133421
5622,MENTIONS,0000012927
5622,MENTIONS,0001069258
5622,MENTIONS,0001133421
5623,MENTIONS,0001133421
5624,MENTIONS,0001069258
5625,MENTIONS,0001069258
5628,MENTIONS,0000927653
5629,MENTIONS,0000914475
5636,MENTIONS,0000002969
5637,MENTIONS,0000726728
5668,MENTIONS,0000093410
5668,MENTIONS,0000034088
5672,MENTIONS,0001539838
5676,MENTIONS,0000320193
5703,MENTIONS,0000796343
5703,MENTIONS,0001108524
5703,MENTIONS,0000789019
5713,MENTIONS,0000049071
5717,MENTIONS,0000887733
5721,MENTIONS,0001561894
5723,MENTIONS,0000764478
5725,MENTIONS,0001766502
5725,MENTIONS,0001633917
5728,MENTIONS,0001384101
5730,MENTIONS,0001739940
5732,MENTIONS,0001520697
5732,MENTIONS,0000860730
5732,MENTIONS,0000070318
5746,MENTIONS,0001418121
5746,MENTIONS,0001025378
5768,MENTIONS,0001064728
5788,MENTIONS,0000035527
5788,MENTIONS,0001164727
5793,MENTIONS,0000886982
5793,MENTIONS,0000091576
5793,MENTIONS,0000109380
5803,MENTIONS,0000096021
5803,MENTIONS,0000100493
5818,MENTIONS,0001093557
5821,MENTIONS,0001564708
5833,MENTIONS,0000097745
5834,MENTIONS,0000891103
5834,MENTIONS,0000320187
5837,MENTIONS,0000050863
5837,MENTIONS,0000789019
5837,MENTIONS,0001045810
5841,MENTIONS,0000040545
5843,MENTIONS,0001090012
5843,MENTIONS,0001520006
5845,MENTIONS,0000034088
5849,MENTIONS,0000034088
5853,MENTIONS,0001433270
5854,MENTIONS,0000093410
5854,MENTIONS,0000821189
5854,MENTIONS,
5890,MENTIONS,0000002488
5890,MENTIONS,0001645590
5943,MENTIONS,0000022356
5957,MENTIONS,0000050863
5963,MENTIONS,0001463101
5963,MENTIONS,0000753308
5964,MENTIONS,0000753308
5964,MENTIONS,0001296445
5979,MENTIONS,0001579298
5979,MENTIONS,0001067294
5980,MENTIONS,0000764478
5994,MENTIONS,0000009092
5999,MENTIONS,0000732717
6007,MENTIONS,0000940944
6025,MENTIONS,0001045810
6054,MENTIONS,0001374310
6058,MENTIONS,0000320193
6058,MENTIONS,0000789019
6058,MENTIONS,0001045810
6059,MENTIONS,0000026172
6059,MENTIONS,0000076334
6068,MENTIONS,0000320187
6068,MENTIONS,0001345016
6084,MENTIONS,0000822818
6084,MENTIONS,0001060391
6103,MENTIONS,0001002910
6103,MENTIONS,0001070412
6122,MENTIONS,0001070985
6122,MENTIONS,0000923796
6134,MENTIONS,0001156375
6134,MENTIONS,0001045810
6145,MENTIONS,0000008670
6145,MENTIONS,0001066605
6158,MENTIONS,0000929008
6158,MENTIONS,0000106040
6259,MENTIONS,0001636222
6266,MENTIONS,0000012927
6276,MENTIONS,0001108524
6276,MENTIONS,0000789019
6276,MENTIONS,0000320187
6288,MENTIONS,0000816761
6297,MENTIONS,0001045810
6307,MENTIONS,0001108524
6307,MENTIONS,0001262039
6307,MENTIONS,0001097864
6322,MENTIONS,0000766421
6329,MENTIONS,0001023024
6337,MENTIONS,0001108524
6337,MENTIONS,0000753308
6337,MENTIONS,0000875320
6350,MENTIONS,0001130310
