Event,IMPACTS,Company
2008_3,IMPACTS,0000923796
2008_3,IMPACTS,0000012659
2016_11,IMPACTS,0000018230
2016_11,IMPACTS,0000012659
2012_5,IMPACTS,0000868857
2012_5,IMPACTS,0000310764
2016_11,IMPACTS,0000868857
2016_11,IMPACTS,0000310764
2017_0,IMPACTS,0000868857
2017_0,IMPACTS,0000310764
2008_3,IMPACTS,0001413329
2023_15,IMPACTS,0001166691
2023_15,IMPACTS,0001744489
2016_11,IMPACTS,0000861459
2016_11,IMPACTS,0001396009
2012_5,IMPACTS,0001050915
2022_5,IMPACTS,0001633917
2005_1,IMPACTS,0000050863
2002_3,IMPACTS,0001433270
2008_3,IMPACTS,0000860730
2016_11,IMPACTS,0000860730
2016_1,IMPACTS,0000796343
2002_3,IMPACTS,0001045810
2016_7,IMPACTS,0000886982
2016_7,IMPACTS,0000895421
2023_28,IMPACTS,0001463101
2006_5,IMPACTS,0000946581
2023_23,IMPACTS,0000888491
2007_2,IMPACTS,0000320193
2007_2,IMPACTS,0001108524
2007_2,IMPACTS,0000066740
2014_0,IMPACTS,0000012927
2022_5,IMPACTS,0000012927
2021_24,IMPACTS,0001133421
2022_5,IMPACTS,0001025378
2001_6,IMPACTS,0000012927
2001_6,IMPACTS,0001783180
2001_6,IMPACTS,0001781335
2002_4,IMPACTS,0001163165
2013_2,IMPACTS,0001163165
2014_0,IMPACTS,0000093410
2014_0,IMPACTS,0000034088
2012_0,IMPACTS,0000802481
2001_12,IMPACTS,0001390777
2016_11,IMPACTS,0000726728
2013_13,IMPACTS,0001539838
2022_5,IMPACTS,0001539838
2020_36,IMPACTS,0000825542
2002_3,IMPACTS,0001133421
2006_8,IMPACTS,0000320187
2006_8,IMPACTS,0001045810
2006_8,IMPACTS,0001744489
2023_8,IMPACTS,0001093557
2023_8,IMPACTS,0001318605
2022_5,IMPACTS,0000004977
2022_5,IMPACTS,0000080661
2014_0,IMPACTS,0000007084
2022_5,IMPACTS,0000007084
2022_39,IMPACTS,0000796343
2014_0,IMPACTS,0001133421
2022_5,IMPACTS,0001133421
2022_39,IMPACTS,0001069258
2020_36,IMPACTS,0001108524
2006_8,IMPACTS,0000712515
2015_7,IMPACTS,0000915913
2015_7,IMPACTS,0000072903
2022_5,IMPACTS,0000093410
2022_39,IMPACTS,0000006951
2022_39,IMPACTS,0001097864
2022_39,IMPACTS,0000097476
2021_1,IMPACTS,0000882095
2016_11,IMPACTS,0001166691
2004_0,IMPACTS,0001345016
2001_8,IMPACTS,0001166691
2001_8,IMPACTS,0000732717
2006_4,IMPACTS,0001166691
2006_4,IMPACTS,0000732717
2020_29,IMPACTS,0001057706
2022_5,IMPACTS,0000045012
2022_5,IMPACTS,0000021344
2022_5,IMPACTS,0000087347
2022_5,IMPACTS,0001318605
2022_39,IMPACTS,0000320193
2020_29,IMPACTS,0000002488
2020_29,IMPACTS,0001133421
2022_5,IMPACTS,0000315189
2022_5,IMPACTS,0000825542
2015_6,IMPACTS,0000007084
2021_37,IMPACTS,0000007084
2023_23,IMPACTS,0000027904
2023_23,IMPACTS,0000100517
2022_39,IMPACTS,0001261333
2016_7,IMPACTS,0000021344
2022_39,IMPACTS,0001660134
2016_11,IMPACTS,0001390777
2016_11,IMPACTS,0000831001
2016_11,IMPACTS,0000072971
2016_7,IMPACTS,0000831001
2016_7,IMPACTS,0000072971
2022_5,IMPACTS,0001324404
2022_5,IMPACTS,0000886982
2022_5,IMPACTS,0000797468
2022_5,IMPACTS,0000034088
2016_7,IMPACTS,0000759944
2016_7,IMPACTS,0001448893
2002_3,IMPACTS,0000726728
2022_39,IMPACTS,0000726728
2017_0,IMPACTS,0000753308
2017_0,IMPACTS,0000073309
2003_2,IMPACTS,0001133421
2006_3,IMPACTS,0001133421
2003_2,IMPACTS,0000100493
2005_12,IMPACTS,0000315293
2005_12,IMPACTS,0001224608
2005_12,IMPACTS,0000876437
2016_7,IMPACTS,0000091576
2020_29,IMPACTS,0000036377
2017_6,IMPACTS,0000886982
2017_6,IMPACTS,0000310158
2004_0,IMPACTS,0000006951
2004_0,IMPACTS,0001090012
2004_0,IMPACTS,0001109357
2016_7,IMPACTS,0000002488
2016_7,IMPACTS,0000050863
2006_4,IMPACTS,0000002488
2006_4,IMPACTS,0000313616
2006_4,IMPACTS,0000073124
2005_12,IMPACTS,0000899051
2005_12,IMPACTS,0000086312
2004_0,IMPACTS,0000831001
2004_0,IMPACTS,0000310158
2004_0,IMPACTS,0001004980
2016_1,IMPACTS,0001286681
2016_11,IMPACTS,0000875045
2016_11,IMPACTS,0000310158
2008_3,IMPACTS,0001023024
2016_7,IMPACTS,0000318154
2016_7,IMPACTS,0000875320
2009_0,IMPACTS,0000050863
2014_0,IMPACTS,0001090012
2014_0,IMPACTS,0000797468
2022_5,IMPACTS,0001090012
2012_5,IMPACTS,0001413329
2016_7,IMPACTS,0000021665
2016_7,IMPACTS,0000055785
2015_7,IMPACTS,0001064728
2015_7,IMPACTS,0001070412
2022_5,IMPACTS,0001064728
2006_4,IMPACTS,0000946581
2020_29,IMPACTS,0000923796
2021_28,IMPACTS,0000918646
2021_28,IMPACTS,0000916076
2016_11,IMPACTS,0001124198
2016_7,IMPACTS,0000075362
2004_0,IMPACTS,0001633917
2009_0,IMPACTS,0001433270
2020_29,IMPACTS,0001633917
2021_39,IMPACTS,0001744489
2021_39,IMPACTS,0000021344
2021_39,IMPACTS,0000320187
2021_39,IMPACTS,0000829224
2021_39,IMPACTS,0001318605
2021_39,IMPACTS,0000034088
2022_35,IMPACTS,0001390777
2022_5,IMPACTS,0001262039
2016_3,IMPACTS,0001262039
2013_8,IMPACTS,0001133421
2008_3,IMPACTS,0001133421
2016_11,IMPACTS,0001069258
2017_0,IMPACTS,0001069258
2001_7,IMPACTS,0001336920
2016_11,IMPACTS,0001336920
2021_5,IMPACTS,0001133421
2021_37,IMPACTS,0001133421
2010_7,IMPACTS,0001133421
2016_6,IMPACTS,0001133421
2010_7,IMPACTS,0001336920
2014_0,IMPACTS,0000016058
2014_0,IMPACTS,0001069258
2022_5,IMPACTS,0000016058
2022_5,IMPACTS,0001069258
2016_7,IMPACTS,0001130310
2022_5,IMPACTS,0001551152
2022_5,IMPACTS,0000001800
2022_5,IMPACTS,0000732717
2008_3,IMPACTS,0000753308
2016_11,IMPACTS,0000753308
2020_29,IMPACTS,0000860730
2020_29,IMPACTS,0000753308
2016_7,IMPACTS,0001413329
2016_7,IMPACTS,0000036104
2017_8,IMPACTS,0001362468
2023_23,IMPACTS,0000012927
2022_39,IMPACTS,0000018230
2022_39,IMPACTS,0000315189
2020_29,IMPACTS,0000796343
2023_27,IMPACTS,0000793952
2005_12,IMPACTS,0001534504
2005_12,IMPACTS,0001035002
2023_23,IMPACTS,0000093410
2023_23,IMPACTS,0000045012
2005_12,IMPACTS,
2022_10,IMPACTS,0000764478
2016_11,IMPACTS,
2017_0,IMPACTS,
2016_1,IMPACTS,0000002488
2016_1,IMPACTS,0000050863
2016_1,IMPACTS,0001045810
2002_3,IMPACTS,0000789019
2002_3,IMPACTS,0001633917
2022_9,IMPACTS,0000789019
2022_9,IMPACTS,0001633917
2022_39,IMPACTS,0001633917
2022_5,IMPACTS,0001285785
2016_1,IMPACTS,0000712515
2016_1,IMPACTS,0000789019
2009_0,IMPACTS,0001045810
2023_27,IMPACTS,0000034088
2022_5,IMPACTS,0000753308
2022_5,IMPACTS,0000100885
2002_12,IMPACTS,0001289460
2008_3,IMPACTS,0000939767
2020_29,IMPACTS,0001396009
2002_12,IMPACTS,0000909832
2006_8,IMPACTS,0000027904
2022_39,IMPACTS,0001262039
2006_5,IMPACTS,0001600033
2022_39,IMPACTS,0001058090
2020_29,IMPACTS,0000067215
2001_6,IMPACTS,0001133421
2020_29,IMPACTS,0000909832
2020_29,IMPACTS,0001069878
2020_29,IMPACTS,0000916365
2016_11,IMPACTS,0000702165
2016_11,IMPACTS,0000100885
2016_11,IMPACTS,0001090727
2022_5,IMPACTS,0001018724
2022_5,IMPACTS,0000104169
2002_3,IMPACTS,0000712515
2022_39,IMPACTS,0001090727
2016_2,IMPACTS,0001396009
2008_3,IMPACTS,0001166691
2008_3,IMPACTS,0001067701
2020_29,IMPACTS,0001166691
2020_29,IMPACTS,0001067701
2006_5,IMPACTS,0000891103
2006_5,IMPACTS,0001633917
2002_3,IMPACTS,0001075531
2002_3,IMPACTS,0000040545
2002_3,IMPACTS,0000829224
2021_33,IMPACTS,0001336917
2022_39,IMPACTS,0001352010
2017_0,IMPACTS,0000035527
2017_0,IMPACTS,0000036270
2001_6,IMPACTS,0001166691
2016_11,IMPACTS,0000021344
2016_11,IMPACTS,0000759944
2016_11,IMPACTS,0000091576
2023_23,IMPACTS,
2006_10,IMPACTS,0000875320
2014_0,IMPACTS,0000850209
2022_5,IMPACTS,0000850209
2014_0,IMPACTS,0000764065
2014_0,IMPACTS,0001324424
2022_5,IMPACTS,0000764065
2022_5,IMPACTS,0001324424
2022_5,IMPACTS,0001163165
2009_0,IMPACTS,0000320193
2009_0,IMPACTS,0001744489
2009_0,IMPACTS,0000021344
2007_2,IMPACTS,0000093410
2020_15,IMPACTS,0001045810
2021_8,IMPACTS,0001045810
2014_0,IMPACTS,0001539838
2015_6,IMPACTS,0000093410
2015_6,IMPACTS,0001539838
2015_6,IMPACTS,0000034088
2006_3,IMPACTS,0000093410
2002_12,IMPACTS,0001022079
2016_7,IMPACTS,0000919012
2016_7,IMPACTS,0001525769
2006_8,IMPACTS,0000320193
2006_8,IMPACTS,0000804328
2006_8,IMPACTS,0000104169
2022_5,IMPACTS,0000027419
2017_0,IMPACTS,0000277948
2017_0,IMPACTS,0000702165
2002_12,IMPACTS,0000104169
2009_0,IMPACTS,0000002488
2002_12,IMPACTS,
2016_11,IMPACTS,0000886982
2016_11,IMPACTS,0000895421
2009_0,IMPACTS,0000895421
2018_1,IMPACTS,0001133421
2022_43,IMPACTS,0001413329
2009_0,IMPACTS,0000036104
2021_39,IMPACTS,0001156375
2021_39,IMPACTS,0000036104
2022_11,IMPACTS,0001142750
2022_11,IMPACTS,0000927653
2002_12,IMPACTS,0000320187
2016_11,IMPACTS,0000036270
2016_11,IMPACTS,0000713676
2021_5,IMPACTS,0000753308
2001_6,IMPACTS,0000016058
2001_6,IMPACTS,0001069258
2001_6,IMPACTS,0001336920
2008_4,IMPACTS,0000016058
2008_4,IMPACTS,0001069258
2008_4,IMPACTS,0001336920
2016_6,IMPACTS,0000016058
2016_6,IMPACTS,0001069258
2016_6,IMPACTS,0001336920
2016_11,IMPACTS,0001166003
2002_3,IMPACTS,0000104169
2006_4,IMPACTS,0000789019
2006_4,IMPACTS,0000104169
2004_0,IMPACTS,0001261333
2002_3,IMPACTS,0001336920
2006_4,IMPACTS,0001633917
2022_5,IMPACTS,0000022444
2017_0,IMPACTS,0001133421
2008_3,IMPACTS,0000070318
2016_11,IMPACTS,0000070318
2006_4,IMPACTS,0001018724
2006_4,IMPACTS,0001093557
2006_4,IMPACTS,0000865752
2006_4,IMPACTS,0001045810
2002_12,IMPACTS,0001744489
2002_12,IMPACTS,0000046080
2023_23,IMPACTS,0000895421
2015_7,IMPACTS,0001296445
2004_0,IMPACTS,0001097149
2017_0,IMPACTS,0000831001
2023_5,IMPACTS,0000789019
2003_2,IMPACTS,0000093410
2017_0,IMPACTS,0000093410
2016_11,IMPACTS,0001526520
2002_12,IMPACTS,0000829224
2016_11,IMPACTS,0001039684
2016_11,IMPACTS,0001571949
2002_12,IMPACTS,0001526520
2021_1,IMPACTS,0000732717
2016_2,IMPACTS,0001185348
2016_7,IMPACTS,0000882095
2016_11,IMPACTS,0000793952
2016_11,IMPACTS,0000104169
2017_0,IMPACTS,0001396009
2017_0,IMPACTS,0000104169
2020_29,IMPACTS,0000104169
2020_29,IMPACTS,0001022079
2008_3,IMPACTS,0000012927
2008_3,IMPACTS,0000093410
2008_3,IMPACTS,0000004127
2008_3,IMPACTS,0000034088
2012_5,IMPACTS,0000012927
2012_5,IMPACTS,0000093410
2012_5,IMPACTS,0000004127
2012_5,IMPACTS,0000034088
2016_11,IMPACTS,0001403161
2021_39,IMPACTS,0001045810
2022_35,IMPACTS,0001633917
2002_0,IMPACTS,0000001800
2002_0,IMPACTS,0000021344
2002_0,IMPACTS,0001413329
2016_11,IMPACTS,0000001750
2007_2,IMPACTS,0001018724
2007_2,IMPACTS,0000050863
2007_2,IMPACTS,0000789019
2004_0,IMPACTS,0001089063
2005_6,IMPACTS,0000040545
2016_7,IMPACTS,0000796343
2016_7,IMPACTS,0001048911
2016_7,IMPACTS,0001604778
2010_4,IMPACTS,0001374310
2010_4,IMPACTS,0000876437
2016_11,IMPACTS,0001133421
2022_11,IMPACTS,0001306830
2022_11,IMPACTS,0001637459
2009_0,IMPACTS,0001289419
2006_5,IMPACTS,0001403161
2006_5,IMPACTS,0001097864
2004_0,IMPACTS,0001075531
2004_0,IMPACTS,0001744489
2004_0,IMPACTS,0000021344
2020_8,IMPACTS,0001744489
2020_8,IMPACTS,0000021344
2023_6,IMPACTS,0001318605
2009_0,IMPACTS,0000829224
2002_12,IMPACTS,0000006201
2022_5,IMPACTS,0001660134
2016_11,IMPACTS,0000318154
2012_5,IMPACTS,0000753308
2022_5,IMPACTS,0000880266
2022_5,IMPACTS,0000899751
2017_0,IMPACTS,0001164727
2006_8,IMPACTS,0000002488
2002_3,IMPACTS,0001053507
2004_0,IMPACTS,0001058090
2020_19,IMPACTS,0001058090
2022_39,IMPACTS,0000051143
2005_15,IMPACTS,0000077476
2006_8,IMPACTS,0000946581
2015_7,IMPACTS,0001463101
2015_7,IMPACTS,0000753308
2014_0,IMPACTS,0000759944
2014_0,IMPACTS,0001128361
2014_0,IMPACTS,0000801337
2022_5,IMPACTS,0000759944
2022_5,IMPACTS,0001128361
2022_5,IMPACTS,0000801337
2016_1,IMPACTS,0001318605
2014_0,IMPACTS,0001163165
2014_0,IMPACTS,0001520006
2022_5,IMPACTS,0001520006
2017_0,IMPACTS,0001130310
2008_3,IMPACTS,0001739940
2008_3,IMPACTS,0000049071
2016_11,IMPACTS,0001739940
2016_11,IMPACTS,0000049071
2016_7,IMPACTS,0001163165
2016_7,IMPACTS,0000026172
2002_12,IMPACTS,0000002488
2004_0,IMPACTS,0001564708
2017_6,IMPACTS,0001744489
2017_6,IMPACTS,0000921738
2020_8,IMPACTS,0000921738
2002_3,IMPACTS,0000012927
2014_0,IMPACTS,0000821026
2014_0,IMPACTS,0000835011
2022_5,IMPACTS,0000821026
2022_5,IMPACTS,0000835011
2001_6,IMPACTS,0000713676
2001_6,IMPACTS,0000100885
2001_6,IMPACTS,0000034088
2014_0,IMPACTS,0000066740
2022_5,IMPACTS,0000066740
2017_7,IMPACTS,0000793733
2002_10,IMPACTS,0000793733
2006_7,IMPACTS,0000793733
2016_7,IMPACTS,0000006201
2016_7,IMPACTS,0001579298
2016_11,IMPACTS,0000885725
2016_11,IMPACTS,0001099800
2017_0,IMPACTS,0001099800
2005_12,IMPACTS,0000018230
2005_12,IMPACTS,0000895421
2008_4,IMPACTS,0000018230
2008_4,IMPACTS,0000895421
2012_4,IMPACTS,0000018230
2012_4,IMPACTS,0000895421
2016_11,IMPACTS,0000093410
2016_11,IMPACTS,0000006951
2016_11,IMPACTS,0001413329
2005_12,IMPACTS,0001633931
2005_12,IMPACTS,0000916076
2005_12,IMPACTS,0001370946
2005_12,IMPACTS,0001396009
2017_0,IMPACTS,0001403161
2017_0,IMPACTS,0001442145
2009_0,IMPACTS,0001058090
2009_0,IMPACTS,0001065088
2021_28,IMPACTS,0001396009
2009_0,IMPACTS,0001390777
2017_0,IMPACTS,0000012927
2015_6,IMPACTS,0001133421
2018_1,IMPACTS,0001069258
2022_5,IMPACTS,0000927653
2016_7,IMPACTS,0000914475
2022_5,IMPACTS,0000002969
2016_7,IMPACTS,0000726728
2016_11,IMPACTS,0001539838
2017_0,IMPACTS,0000049071
2017_0,IMPACTS,0000887733
2016_11,IMPACTS,0001561894
2016_7,IMPACTS,0000764478
2009_0,IMPACTS,0001766502
2016_11,IMPACTS,0001384101
2017_0,IMPACTS,0001739940
2017_0,IMPACTS,0001520697
2017_0,IMPACTS,0000860730
2017_0,IMPACTS,0000070318
2016_7,IMPACTS,0001418121
2016_7,IMPACTS,0001025378
2016_11,IMPACTS,0001064728
2018_1,IMPACTS,0000035527
2018_1,IMPACTS,0001164727
2008_3,IMPACTS,0000886982
2008_3,IMPACTS,0000091576
2008_3,IMPACTS,0000109380
2016_11,IMPACTS,0000109380
2016_11,IMPACTS,0000096021
2016_11,IMPACTS,0000100493
2008_3,IMPACTS,0001093557
2016_11,IMPACTS,0001093557
2017_0,IMPACTS,0001093557
2016_11,IMPACTS,0001564708
2017_0,IMPACTS,0001564708
2017_0,IMPACTS,0000097745
2006_8,IMPACTS,0000891103
2016_11,IMPACTS,0000040545
2015_6,IMPACTS,0001090012
2015_6,IMPACTS,0001520006
2017_0,IMPACTS,0000034088
2013_8,IMPACTS,0001433270
2018_1,IMPACTS,0000093410
2018_1,IMPACTS,0000821189
2018_1,IMPACTS,
2022_39,IMPACTS,0001645590
2016_11,IMPACTS,0000022356
2022_5,IMPACTS,0000050863
2022_5,IMPACTS,0001296445
2016_11,IMPACTS,0001579298
2016_11,IMPACTS,0001067294
2016_11,IMPACTS,0000764478
2016_7,IMPACTS,0000009092
2017_0,IMPACTS,0000732717
2008_3,IMPACTS,0000940944
2020_29,IMPACTS,0000940944
2021_5,IMPACTS,0000940944
2010_7,IMPACTS,0001374310
2012_5,IMPACTS,0000026172
2012_5,IMPACTS,0000076334
2016_11,IMPACTS,0000320187
2016_11,IMPACTS,0001345016
2017_0,IMPACTS,0000320187
2017_0,IMPACTS,0001345016
2016_11,IMPACTS,0000822818
2016_11,IMPACTS,0001060391
2016_11,IMPACTS,0001002910
2016_11,IMPACTS,0001070412
2008_3,IMPACTS,0001070985
2016_11,IMPACTS,0001070985
2020_29,IMPACTS,0001070985
2016_11,IMPACTS,0000008670
2016_11,IMPACTS,0001066605
2017_0,IMPACTS,0000008670
2017_0,IMPACTS,0001066605
2016_11,IMPACTS,0000929008
2016_11,IMPACTS,0000106040
2017_0,IMPACTS,0000929008
2017_0,IMPACTS,0000106040
2009_0,IMPACTS,0001636222
2009_0,IMPACTS,0000012927
2001_0,IMPACTS,0001108524
2001_0,IMPACTS,0000789019
2001_0,IMPACTS,0000320187
2009_0,IMPACTS,0000816761
2016_7,IMPACTS,0000766421
2018_1,IMPACTS,0001023024
2008_3,IMPACTS,0001108524
2008_3,IMPACTS,0000875320
2021_5,IMPACTS,0001108524
2021_5,IMPACTS,0000875320
2016_11,IMPACTS,0001111335
2016_7,IMPACTS,0000036966
2016_7,IMPACTS,
2008_3,IMPACTS,0000077476
2008_3,IMPACTS,0000096021
2016_11,IMPACTS,0000077476
2022_5,IMPACTS,0000821189
2018_1,IMPACTS,0000723125
2016_11,IMPACTS,0000008818
2016_11,IMPACTS,0001123360
2005_12,IMPACTS,0001101302
2008_3,IMPACTS,0000919012
2016_11,IMPACTS,0000919012
2008_3,IMPACTS,0000093389
2008_3,IMPACTS,0001116942
2012_5,IMPACTS,0000093389
2012_5,IMPACTS,0001116942
2016_11,IMPACTS,0000093389
2016_11,IMPACTS,0001116942
2017_0,IMPACTS,0000796343
2015_7,IMPACTS,0000040545
2016_11,IMPACTS,0000882184
2016_11,IMPACTS,0000906163
2016_11,IMPACTS,0001067701
2017_0,IMPACTS,0000882184
2017_0,IMPACTS,0000906163
2017_0,IMPACTS,0001067701
2016_7,IMPACTS,0001530950
2016_7,IMPACTS,0000100493
2009_0,IMPACTS,0001467373
2009_0,IMPACTS,
2016_11,IMPACTS,0001014473
2016_7,IMPACTS,0000004904
2005_12,IMPACTS,0001472787
2005_12,IMPACTS,0000886982
2005_12,IMPACTS,0001126328
2006_4,IMPACTS,0000092122
2008_3,IMPACTS,0001043219
2008_3,IMPACTS,0000732717
2012_5,IMPACTS,0001043219
2012_5,IMPACTS,0000732717
2017_0,IMPACTS,0001043219
2020_29,IMPACTS,0001043219
2020_29,IMPACTS,0000732717
2001_2,IMPACTS,0001623925
2016_11,IMPACTS,0001623925
2005_1,IMPACTS,0001108524
2016_1,IMPACTS,0001108524
2006_4,IMPACTS,0001058090
2016_11,IMPACTS,0001472787
2016_11,IMPACTS,0001048695
2016_11,IMPACTS,0000097745
2016_11,IMPACTS,0001048477
2016_11,IMPACTS,0000939767
2017_0,IMPACTS,0000875320
2016_11,IMPACTS,0001130310
2016_11,IMPACTS,0001121788
2022_5,IMPACTS,0000882184
2022_5,IMPACTS,0000804328
2021_5,IMPACTS,0000813672
2021_5,IMPACTS,0001318605
2021_5,IMPACTS,0000097476
2022_5,IMPACTS,0000016040
2022_5,IMPACTS,0000046765
2006_4,IMPACTS,0001324424
2006_4,IMPACTS,0001800227
2017_0,IMPACTS,0000050863
2017_0,IMPACTS,0000080661
2017_0,IMPACTS,0001097149
2017_0,IMPACTS,0000711404
2007_2,IMPACTS,0000068505
2006_8,IMPACTS,0000769397
2016_7,IMPACTS,0001958086
2016_7,IMPACTS,0001005284
2022_5,IMPACTS,0001675149
2022_5,IMPACTS,0000723125
2022_5,IMPACTS,0000100493
2008_3,IMPACTS,0001403161
2012_5,IMPACTS,0001403161
2020_29,IMPACTS,0001403161
2001_2,IMPACTS,0001611647
2008_3,IMPACTS,0001611647
2012_5,IMPACTS,0001611647
2020_29,IMPACTS,0001611647
2016_11,IMPACTS,0001551152
2016_11,IMPACTS,0000315189
2016_11,IMPACTS,0001569650
2017_0,IMPACTS,0000315189
2017_0,IMPACTS,0001569650
2015_5,IMPACTS,0001539838
2015_5,IMPACTS,0001520006
2015_5,IMPACTS,0000893538
2016_11,IMPACTS,0001047127
2016_11,IMPACTS,0000014707
2016_7,IMPACTS,0001278027
2017_0,IMPACTS,0000002488
2017_0,IMPACTS,0000040545
